author,book,mark_num,price,star,time
[美] 卡勒德·胡赛尼,追风筝的人,381977,29.00元,8.9,2006-5
[日] 东野圭吾,解忧杂货店,361467,39.50元,8.5,2014-5
[法] 圣埃克苏佩里,小王子,303908,22.00元,9.0,2003-8
[日] 东野圭吾,白夜行,266314,29.80元,9.1,2008-9
钱锺书,围城,232877,19.00,8.9,1991-2
刘慈欣,三体,215435,23.00,8.8,2008-1
[日] 东野圭吾,嫌疑人X的献身,213560,28.00,8.9,2008-9
[日] 村上春树,挪威的森林,222051,18.80元,8.0,2001-2
[哥伦比亚] 加西亚·马尔克斯,百年孤独,165357,39.50元,9.2,2011-6
[清] 曹雪芹 著,红楼梦,157683,59.70元,9.6,1996-12
余华,活着,151309,20.00元,9.3,2012-8-1
柴静,看见,160749,39.80元,8.8,2013-1-1
[捷克] 米兰·昆德拉,不能承受的生命之轻,154833,23.00元,8.5,2003-7
路遥,平凡的世界（全三部）,134747,64.00元,9.0,2005-1
[美] 丹·布朗,达·芬奇密码,148738,28.00元,8.2,2004-2
刘慈欣,三体Ⅱ,126267,32.00,9.3,2008-5
刘慈欣,三体Ⅲ,125776,38.00元,9.2,2010-11
[英] 夏洛蒂·勃朗特,简爱（英文全本）,125734,18.00元,8.5,2003-11
杨绛,我们仨,117449,18.80元,8.7,2003-7
高铭,天才在左 疯子在右,126191,29.80元,8.2,2010-2
[英] J. K. 罗琳,哈利·波特与魔法石,107931,19.50元,9.0,2000-9
[英] 奥斯丁,傲慢与偏见,107561,13.00元,8.8,1993-7
当年明月,明朝那些事儿（壹）,106423,24.80,8.7,2006-9
龙应台,目送,107034,39.00元,8.7,2009-10
[美国] 玛格丽特·米切尔,飘,95927,40.00元,9.3,2000-9
花城出版社,倾城之恋,104517,11.00,8.5,1997-3-1
刘瑜,送你一颗子弹,101586,25.00元,8.6,2010-1
[日] 东野圭吾,恶意,101475,18.00,8.4,2009-6
[哥伦比亚] 加西亚·马尔克斯,霍乱时期的爱情,94587,39.50元,9.0,2012-9-1
沈从文,边城,94730,12.00元,8.6,2002-4
三毛,撒哈拉的故事,88827,160 TWD,9.0,1976
[法] 玛格丽特·杜拉斯,情人,100693,20.00元,8.1,2005-7
余华,许三观卖血记,90515,16.80元,8.7,1998-9
[英] J. K. 罗琳,哈利·波特与阿兹卡班的囚徒,88188,26.50元,8.9,2000-9
姜戎,狼图腾,95620,32.00元,8.3,2004-4
[英] J. K. 罗琳,哈利·波特与火焰杯,85027,39.80元,9.0,2001-5
[英] J. K. 罗琳,哈利·波特与密室,85168,22.00元,8.9,2000-9
霍达,穆斯林的葬礼,91128,32.00,8.2,1988-12-1
[美] 黄仁宇,万历十五年,82936,18.00元,8.9,1997-5
[日] 村上春树,1Q84 BOOK 1,88852,36.00元,8.3,2010-5
南派三叔,盗墓笔记,84539,26.80元,8.3,2007-1
[日] 黑柳彻子 著,窗边的小豆豆,78157,20.00元,8.7,2003-1
[英] J. K. 罗琳,哈利·波特与混血王子,74553,58.00元,8.8,2005-10
王小波,黄金时代,75520,19.00元,8.8,1999-3
幾米,向左走·向右走,79338,16.00元,8.4,2002-8
安妮宝贝,莲花,81972,25.00元,8.0,2006-3
（挪威）乔斯坦·贾德,苏菲的世界,74578,26.80元,8.5,1999-04
太宰治,人间失格,76781,16.00元,8.3,2009年9月
[明] 罗贯中,三国演义（全二册）,67813,39.50元,9.2,1998-05
[英] J. K. 罗琳,哈利·波特与凤凰社,70887,59.00元,8.7,2003-9
今何在,悟空传,75175,14.80元,8.4,2001-4
[巴西]保罗·柯艾略,牧羊少年奇幻之旅,72751,25.00元,8.6,2009-3-1
海明威,老人与海,74403,8.20元,8.3,1999-10
金庸,天龙八部,67414,96.0,9.1,1994-5
[英] 乔治·奥威尔,1984,65716,28.00,9.3,2010-4-1
[以色列]尤瓦尔·赫拉利,人类简史,66750,CNY 68.00,9.1,2014-11
[英] J. K. 罗琳,哈利·波特与死亡圣器,65780,66.00元,9.0,2007-10
（英）勃朗特,呼啸山庄,69017,27.30元,8.4,1999-01-01
龙应台,亲爱的安德烈,66642,26.00,8.7,2008-12
[美] 卡勒德·胡赛尼,灿烂千阳,64332,28.00元,8.8,2007-9
[日] 村上春树,海边的卡夫卡,70188,25.00元,8.1,2003-4
大仲马,基督山伯爵,62275,43.90元,9.0,1991-12-1
[美] 伍绮诗,无声告白,68308,35.00元,8.2,2015-7
余华,兄弟（上）,66016,16.00元,8.3,2005-8
金庸,笑傲江湖（全四册）,59787,76.80元,9.0,1994-5
[美] M·斯科特·派克,少有人走的路,64096,26.00元,8.4,2007-1
[英] 阿·柯南道尔,福尔摩斯探案全集（上中下）,56800,53.00元/68.00元,9.2,1981-8
陈忠实,白鹿原,59622,28.00元,8.7,1997-12
小仲马,茶花女,63751,9.00元,8.2,1997-3
[奥] 斯台芬·茨威格,一个陌生女人的来信,59375,20.00元,8.7,2007-7
王小波,沉默的大多数,55864,27.00元,9.1,1997-10
刘瑜,民主的细节,59243,25.00,8.6,2009-6
[英] 笛福,鲁滨逊漂流记,63129,9.20元,8.0,2002-1
